party,,,,D,R,R,R,D,D,D,D,D,R,R,D,D,R,R,D,D,D,D,R,R,R,R,R,D,D,R,R,R,R,D,R,R,D,D,D,R,R,D,D,R,R,R,R,D,R,R,D,R,D,R,D,D,R,D,D,D,R,D,I,R,D,R,D,R,D,D,D,R,R,D,D,D,R,R,D,D,D,R,R,D,R,I,D,R,D,R,R,D,D,R,R,D,D,R,D,D,D,R,D,R
state,,,,HI,TN,NH,WY,MT,AK,CO,NM,CT,MO,AR,CA,OH,MA,NC,WA,MD,DE,PA,GA,IN,OK,MS,ME,ND,DE,TN,TX,ID,SC,IL,NV,WY,CA,MN,NY,SC,IA,NC,IA,UT,ND,TX,OK,HI,GA,NE,SD,WI,MA,IL,MN,WI,AZ,LA,NJ,VT,UT,MI,CT,IN,WV,AZ,MO,KY,NJ,OR,MD,KS,AK,WA,FL,NE,KY,OH,AR,RI,NV,ID,KS,WV,FL,VT,NY,AL,NH,AL,ME,MI,MT,SD,PA,CO,NM,LA,VA,VA,RI,MS,OR,NV
dw_nominate,,,,-0.419,0.323,0.351,0.53,-0.212,-0.235,-0.207,nan,-0.421,0.43,0.401,-0.45,-0.438,nan,0.453,-0.292,-0.327,-0.173,-0.302,0.423,0.375,0.782,0.287,0.109,nan,-0.247,0.395,0.496,0.508,0.7,-0.362,0.508,0.539,-0.267,-0.4,-0.398,0.408,0.342,-0.202,-0.351,0.382,0.34,0.356,0.552,-0.319,0.403,0.391,-0.25,0.6,nan,0.274,-0.244,-0.205,nan,-0.203,-0.382,-0.371,0.924,-0.395,nan,0.304,-0.058,0.381,-0.144,0.404,-0.362,-0.477,-0.37,0.414,0.207,-0.343,-0.193,-0.03,0.873,0.374,-0.199,-0.382,-0.276,0.635,0.414,-0.326,0.583,-0.518,-0.351,0.549,-0.257,nan,0.091,-0.328,-0.213,0.409,0.632,-0.353,-0.453,0.495,-0.193,-0.169,-0.403,0.377,-0.319,nan
member_id,,,,A000069,A000360,A000368,B001261,B000243,B001265,B001267,B000468,B001277,B000575,B001236,B000711,B000944,B001268,B001135,C000127,C000141,C000174,C001070,C000286,C000542,C000560,C000567,C001035,C000705,C001088,C001071,C001056,C000880,D000595,D000563,E000194,E000285,F000062,F000457,G000555,G000359,G000386,H001049,H000206,H000338,H001061,H001016,I000024,I000025,I000055,J000291,J000177,J000293,K000148,K000360,K000367,K000305,K000352,L000550,L000123,L000174,L000577,L000261,L000304,L000504,M001183,M000303,M001170,M000355,M000639,M001176,M000702,M000934,M001153,M001111,N000032,N000180,P000603,P000449,P000590,R000122,R000146,R000584,R000307,R000361,R000595,S000033,S000148,S001141,S001181,S000320,S000663,S000770,T000464,T000250,T000461,U000038,U000039,V000127,W000805,W000803,W000802,W000437,W000779,H001041
name,,,,Daniel K. Akaka,Lamar Alexander,Kelly Ayotte,John Barrasso,Max Baucus,Mark Begich,Michael Bennet,Jeff Bingaman,Richard Blumenthal,Roy Blunt,John Boozman,Barbara Boxer,Sherrod Brown,Scott Brown,Richard M. Burr,Maria Cantwell,Benjamin L. Cardin,Thomas R. Carper,Bob Casey,Saxby Chambliss,Daniel Coats,Tom Coburn,Thad Cochran,Susan Collins,Kent Conrad,Christopher A. Coons,Bob Corker,John Cornyn,Michael D. Crapo,Jim DeMint,Richard J. Durbin,John Ensign,Michael B. Enzi,Dianne Feinstein,Al Franken,Kirsten E. Gillibrand,Lindsey Graham,Charles E. Grassley,Kay Hagan,Tom Harkin,Orrin G. Hatch,John Hoeven,Kay Bailey Hutchison,James M. Inhofe,Daniel K. Inouye,Johnny Isakson,Mike Johanns,Tim Johnson,Ron Johnson,John Kerry,Mark Steven Kirk,Amy Klobuchar,Herb Kohl,Jon Kyl,Mary L. Landrieu,Frank R. Lautenberg,Patrick J. Leahy,Mike Lee,Carl Levin,Joseph I. Lieberman,Richard G. Lugar,Joe Manchin III,John McCain,Claire McCaskill,Mitch McConnell,Robert Menendez,Jeff Merkley,Barbara A. Mikulski,Jerry Moran,Lisa Murkowski,Patty Murray,Bill Nelson,Ben Nelson,Rand Paul,Rob Portman,Mark Pryor,Jack Reed,Harry Reid,Jim Risch,Pat Roberts,John D. Rockefeller IV,Marco Rubio,Bernard Sanders,Charles E. Schumer,Jeff Sessions,Jeanne Shaheen,Richard C. Shelby,Olympia J. Snowe,Debbie Stabenow,Jon Tester,John Thune,Patrick J. Toomey,Mark Udall,Tom Udall,David Vitter,Mark Warner,Jim Webb,Sheldon Whitehouse,Roger Wicker,Ron Wyden,Dean Heller
congress,chamber,session,roll_call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Senate,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,
112,Senate,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
112,Senate,1,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Voting,No,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,
112,Senate,1,4,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Not Voting,No,Yes,No,No,No,Yes,No,No,Not Voting,No,Not Voting,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Not Voting,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,
112,Senate,1,5,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Not Voting,Yes,Yes,No,No,Yes,Yes,No,No,Not Voting,No,Not Voting,No,No,Yes,No,Not Voting,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Not Voting,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,
