party,,,,R,R,D,R,D,D,R,D,R,D,D,R,D,R,D,D,D,R,R,R,R,D,R,R,R,R,R,R,D,D,R,R,D,R,R,D,R,D,R,R,R,D,D,R,D,R,R,R,R,D,I,R,D,R,D,R,D,D,R,D,R,D,D,D,R,R,D,D,D,R,R,D,R,D,D,R,R,R,R,I,R,D,D,R,R,D,R,D,R,D,R,R,R,D,R,D,D,D,R,D
state,,,,TN,NH,WI,WY,CO,CT,MO,NJ,AR,CA,OH,NC,WA,WV,MD,DE,PA,LA,IN,MS,ME,DE,TN,TX,AR,ID,TX,MT,IN,IL,WY,IA,CA,NE,AZ,MN,CO,NY,SC,IA,UT,NM,ND,NV,HI,ND,OK,GA,WI,VA,ME,IL,MN,OK,VT,UT,WV,MA,AZ,MO,KY,NJ,OR,MD,KS,AK,CT,WA,FL,KY,GA,MI,OH,RI,NV,ID,KS,SD,FL,VT,NE,HI,NY,SC,AL,NH,AL,MI,AK,MT,SD,NC,PA,NM,LA,VA,MA,RI,MS,OR
dw_nominate,,,,0.323,0.351,-0.528,0.53,-0.207,-0.421,0.43,-0.615,0.401,-0.45,-0.438,0.453,-0.292,0.26,-0.327,-0.173,-0.302,0.452,0.375,0.287,0.109,-0.247,0.395,0.496,0.611,0.508,0.836,0.543,-0.119,-0.362,0.539,0.517,-0.267,0.471,0.855,-0.4,0.456,-0.398,0.408,0.342,0.382,-0.297,-0.122,0.464,-0.489,0.34,0.552,0.403,0.6,-0.234,-0.15,0.274,-0.244,0.572,-0.371,0.924,-0.058,-0.503,0.381,-0.144,0.404,-0.362,-0.477,-0.37,0.414,0.207,-0.308,-0.343,-0.193,0.873,0.623,-0.236,0.374,-0.382,-0.276,0.635,0.414,0.389,0.583,-0.518,0.813,-0.401,-0.351,0.655,0.549,-0.257,nan,-0.328,0.462,-0.213,0.409,0.429,0.632,-0.453,0.495,-0.193,-0.776,-0.403,0.377,-0.319
member_id,,,,A000360,A000368,B001230,B001261,B001267,B001277,B000575,B001288,B001236,B000711,B000944,B001135,C000127,C001047,C000141,C000174,C001070,C001075,C000542,C000567,C001035,C001088,C001071,C001056,C001095,C000880,C001098,D000618,D000607,D000563,E000285,E000295,F000062,F000463,F000444,F000457,G000562,G000555,G000359,G000386,H000338,H001046,H001069,H001041,H001042,H001061,I000024,I000055,J000293,K000384,K000383,K000360,K000367,L000575,L000174,L000577,M001183,M000133,M000303,M001170,M000355,M000639,M001176,M000702,M000934,M001153,M001169,M001111,N000032,P000603,P000612,P000595,P000449,R000122,R000146,R000584,R000307,R000605,R000595,S000033,S001197,S001194,S000148,S001184,S001141,S001181,S000320,S000770,S001198,T000464,T000250,T000476,T000461,U000039,V000127,W000805,W000817,W000802,W000437,W000779
name,,,,Lamar Alexander,Kelly Ayotte,Tammy Baldwin,John Barrasso,Michael Bennet,Richard Blumenthal,Roy Blunt,Cory Booker,John Boozman,Barbara Boxer,Sherrod Brown,Richard M. Burr,Maria Cantwell,Shelley Moore Capito,Benjamin L. Cardin,Thomas R. Carper,Bob Casey,Bill Cassidy,Daniel Coats,Thad Cochran,Susan Collins,Christopher A. Coons,Bob Corker,John Cornyn,Tom Cotton,Michael D. Crapo,Ted Cruz,Steve Daines,Joe Donnelly,Richard J. Durbin,Michael B. Enzi,Joni Ernst,Dianne Feinstein,Deb Fischer,Jeff Flake,Al Franken,Cory Gardner,Kirsten E. Gillibrand,Lindsey Graham,Charles E. Grassley,Orrin G. Hatch,Martin Heinrich,Heidi Heitkamp,Dean Heller,Mazie K. Hirono,John Hoeven,James M. Inhofe,Johnny Isakson,Ron Johnson,Tim Kaine,Angus King,Mark Steven Kirk,Amy Klobuchar,James Lankford,Patrick J. Leahy,Mike Lee,Joe Manchin III,Edward J. Markey,John McCain,Claire McCaskill,Mitch McConnell,Robert Menendez,Jeff Merkley,Barbara A. Mikulski,Jerry Moran,Lisa Murkowski,Christopher S. Murphy,Patty Murray,Bill Nelson,Rand Paul,David Perdue,Gary Peters,Rob Portman,Jack Reed,Harry Reid,Jim Risch,Pat Roberts,Mike Rounds,Marco Rubio,Bernard Sanders,Ben Sasse,Brian Schatz,Charles E. Schumer,Tim Scott,Jeff Sessions,Jeanne Shaheen,Richard C. Shelby,Debbie Stabenow,Dan Sullivan,Jon Tester,John Thune,Thom Tillis,Patrick J. Toomey,Tom Udall,David Vitter,Mark Warner,Elizabeth Warren,Sheldon Whitehouse,Roger Wicker,Ron Wyden
congress,chamber,session,roll_call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Senate,2,1,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Voting,Not Voting,Yes,Yes,Yes,Not Voting,No,Yes,No,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes
114,Senate,2,2,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Not Voting,Yes,Yes,No,No,Yes,Yes,Yes,Not Voting,Yes,No,No,Yes,Yes,No,Yes,Yes,Not Voting,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
114,Senate,2,3,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Not Voting,No,No,Not Voting,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Not Voting,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Not Voting,Not Voting,No,Yes,Yes,Not Voting,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
114,Senate,2,4,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Not Voting,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Not Voting,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
114,Senate,2,5,Not Voting,Yes,No,Yes,No,No,Yes,No,Yes,Not Voting,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Not Voting,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Not Voting,Not Voting,Yes,No,No,Not Voting,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Not Voting,No,No,Yes,No
